timestamp, bead_x, bead_y, bead_z
2.000000,-0.000423,0.005884,0.102540 
2.000000,0.000150,0.017896,0.101017 
2.015625,0.000898,0.029969,0.103766 
2.015625,0.000796,0.038858,0.109786 
2.015625,0.001001,0.040781,0.117438 
2.015625,0.001042,0.039851,0.125601 
2.031250,0.000739,0.037074,0.132927 
2.031250,0.000711,0.027649,0.138368 
2.031250,0.000375,0.014785,0.140472 
2.031250,-0.000288,0.002071,0.137945 
2.046875,-0.000782,-0.013487,0.131467 
2.046875,-0.000995,-0.026265,0.121714 
2.046875,-0.001385,-0.034493,0.111928 
2.046875,-0.001608,-0.039458,0.104718 
2.062500,-0.001582,-0.039794,0.102663 
2.062500,-0.001509,-0.039577,0.107144 
2.062500,-0.001546,-0.040200,0.118020 
2.078125,-0.001450,-0.038128,0.130321 
2.078125,-0.001474,-0.039071,0.139314 
2.078125,-0.001416,-0.040569,0.141350 
2.078125,-0.001311,-0.036663,0.136926 
2.093750,-0.001354,-0.031210,0.128206 
2.093750,-0.001073,-0.023812,0.117810 
2.093750,-0.000384,-0.009568,0.108444 
2.093750,-0.000223,0.006294,0.102116 
2.109375,0.000159,0.017923,0.101026 
2.109375,0.000863,0.029880,0.103769 
2.109375,0.000872,0.038887,0.109770 
2.109375,0.001015,0.040828,0.117424 
2.125000,0.000971,0.039776,0.125584 
2.125000,0.000762,0.037085,0.132909 
2.125000,0.000715,0.027757,0.138341 
2.140625,0.000265,0.014847,0.140466 
2.140625,-0.000268,0.002119,0.137956 
2.140625,-0.000675,-0.013089,0.131091 
2.140625,-0.001090,-0.026230,0.121753 
2.156250,-0.001348,-0.034506,0.111952 
2.156250,-0.001579,-0.039365,0.104706 
2.156250,-0.001645,-0.039775,0.102636 
2.156250,-0.001432,-0.039557,0.107095 
2.171875,-0.001579,-0.040173,0.117946 
2.171875,-0.001474,-0.038188,0.130283 
2.171875,-0.001426,-0.039077,0.139304 
2.171875,-0.001471,-0.040505,0.141363 
2.187500,-0.001374,-0.036668,0.136969 
2.187500,-0.001300,-0.031239,0.128244 
2.187500,-0.001088,-0.023848,0.117855 
2.203125,-0.000312,-0.009340,0.108052 
2.203125,-0.000167,0.006314,0.102112 
2.203125,0.000116,0.017963,0.101014 
2.203125,0.000846,0.029831,0.103752 
2.218750,0.000918,0.038915,0.109740 
2.218750,0.000950,0.040912,0.117376 
2.218750,0.001007,0.039815,0.125548 
2.218750,0.000826,0.037168,0.132884 
2.234375,0.000639,0.027936,0.138324 
2.234375,0.000320,0.014876,0.140450 
2.234375,-0.000214,0.002180,0.137969 
2.234375,-0.000656,-0.013007,0.131122 
2.250000,-0.001061,-0.026219,0.121777 
2.250000,-0.001441,-0.034472,0.111983 
2.250000,-0.001593,-0.039357,0.104735 
2.265625,-0.001624,-0.039803,0.102639 
2.265625,-0.001515,-0.039608,0.107069 
2.265625,-0.001590,-0.040175,0.117896 
2.265625,-0.001420,-0.038174,0.130222 
2.281250,-0.001490,-0.039137,0.139261 
2.281250,-0.001451,-0.040547,0.141347 
2.281250,-0.001346,-0.036688,0.136988 
2.281250,-0.001356,-0.031277,0.128283 
2.296875,-0.001071,-0.023946,0.117906 
2.296875,-0.000334,-0.009334,0.108089 
2.296875,-0.000191,0.006288,0.102131 
2.296875,0.000195,0.017958,0.101013 
2.312500,0.000830,0.029812,0.103740 
2.312500,0.000956,0.038870,0.109712 
2.312500,0.001014,0.040972,0.117358 
2.328125,0.000967,0.039856,0.125530 
2.328125,0.000816,0.037168,0.132839 
2.328125,0.000678,0.028023,0.138279 
2.328125,0.000227,0.014974,0.140435 
2.343750,-0.000210,0.002186,0.137988 
2.343750,-0.000696,-0.013207,0.131577 
2.343750,-0.001147,-0.026210,0.121807 
2.343750,-0.001423,-0.034411,0.111994 
2.359375,-0.001478,-0.039192,0.104726 
2.359375,-0.001719,-0.039869,0.102615 
2.359375,-0.001517,-0.039590,0.107025 
2.359375,-0.001462,-0.039987,0.117823 
2.375000,-0.001541,-0.038254,0.130181 
2.375000,-0.001491,-0.039185,0.139260 
2.375000,-0.001386,-0.040460,0.141363 
2.390625,-0.001423,-0.036672,0.137004 
2.390625,-0.001370,-0.031409,0.128325 
2.390625,-0.001000,-0.023984,0.117925 
2.390625,-0.000307,-0.009289,0.108094 
2.406250,-0.000346,0.005822,0.102569 
2.406250,0.000105,0.017863,0.101000 
2.406250,0.000866,0.029806,0.103733 
2.406250,0.000837,0.038879,0.109676 
2.421875,0.000956,0.040967,0.117331 
2.421875,0.001033,0.039938,0.125500 
2.421875,0.000760,0.037250,0.132807 
2.421875,0.000654,0.028042,0.138263 
2.437500,0.000345,0.015023,0.140420 
2.437500,-0.000251,0.002254,0.138003 
2.437500,-0.000601,-0.012882,0.131191 
2.453125,-0.001059,-0.026127,0.121854 
2.453125,-0.001526,-0.034442,0.112018 
2.453125,-0.001484,-0.039206,0.104724 
2.453125,-0.001563,-0.039860,0.102594 
2.468750,-0.001718,-0.039712,0.106983 
2.468750,-0.001453,-0.040148,0.117766 
2.468750,-0.001374,-0.038144,0.130125 
2.468750,-0.001682,-0.039146,0.139209 
2.484375,-0.001350,-0.040588,0.141348 
2.484375,-0.001275,-0.036737,0.137036 
2.484375,-0.001505,-0.031367,0.128352 
2.484375,-0.001042,-0.024014,0.117958 
2.500000,-0.000267,-0.009428,0.108126 
2.500000,-0.000289,0.006229,0.102157 
2.500000,0.000251,0.017842,0.100998 
2.515625,0.000820,0.029718,0.103724 
2.515625,0.000793,0.038891,0.109655 
2.515625,0.001053,0.040966,0.117299 
2.515625,0.000980,0.039896,0.125465 
2.531250,0.000681,0.037315,0.132778 
2.531250,0.000715,0.028182,0.138250 
2.531250,0.000282,0.015096,0.140457 
2.531250,-0.000227,0.002291,0.138054 
2.546875,-0.000518,-0.012805,0.131243 
2.546875,-0.001107,-0.026139,0.121901 
2.546875,-0.001455,-0.034333,0.112045 
2.546875,-0.001461,-0.039221,0.104741 
2.562500,-0.001658,-0.039948,0.102591 
2.562500,-0.001681,-0.039592,0.106919 
2.562500,-0.001438,-0.040063,0.117700 
2.578125,-0.001494,-0.038271,0.130073 
2.578125,-0.001667,-0.039112,0.139184 
2.578125,-0.001307,-0.040540,0.141365 
2.578125,-0.001346,-0.036832,0.137061 
2.593750,-0.001497,-0.031432,0.128384 
2.593750,-0.000992,-0.024018,0.117985 
2.593750,-0.000302,-0.009488,0.108137 
2.593750,-0.000308,0.006070,0.102183 
2.609375,0.000197,0.017912,0.100966 
2.609375,0.000752,0.029692,0.103682 
2.609375,0.000761,0.038869,0.109613 
2.609375,0.001011,0.041119,0.117234 
